AppliesTo,ProvisioningStatus,FriendlyName,ServicePlanId,ServicePlanName,isEnabled,isAssignable,,,,,,
User,Success,Information Protection for Office 365 - Standard,5136a095-5cf0-4aff-bec3-e84448b38ea5,MIP_S_CLP1,FALSE,TRUE,,,,,,
User,Success,Information Protection for Office 365 - Premium,efb0351d-3b08-4503-993d-383af8de41e3,MIP_S_CLP2,FALSE,TRUE,,,,,,
User,Success,Data Classification in Microsoft 365,cd31b152-6326-4d1b-ae1b-997b625182e6,MIP_S_Exchange,FALSE,TRUE,,,,,,
User,Success,Microsoft ML-based classification,d2d51368-76c9-4317-ada2-a12c004c432f,ML_CLASSIFICATION,FALSE,TRUE,,,,,,
User,Success,Microsoft 365 Defender,bf28f719-7844-4079-9c78-c1307898e192,MTP,FALSE,TRUE,,,,,,
Company,Success,,db4d623d-b514-490b-b7ef-8885eee514de,Nucleus,TRUE,FALSE,,,,,,
User,Success,Microsoft Forms (Plan 2) / Microsoft Forms (Plan 3),96c1e14a-ef43-418d-b115-9636cdaa8eed,OFFICE_FORMS_PLAN_3,TRUE,TRUE,,,,,,
User,Success,Microsoft 365 Apps for enterprise,43de0ff5-c92c-492b-9116-175376d08c38,OFFICESUBSCRIPTION,TRUE,TRUE,,,,,,
User,Success,Office 365 Privileged Access Management,b1188c4c-1b36-4018-b48b-ee07604f6feb,PAM_ENTERPRISE,FALSE,TRUE,,,,,,
User,Success,Power Virtual Agents for Office 365,ded3d325-1bdc-453e-8432-5bac26d7a014,POWER_VIRTUAL_AGENTS_O365_P3,FALSE,TRUE,,,,,,
User,Success,Power Apps for Office 365 Plan 3,9c0dab89-a30c-4117-86e7-97bda240acd2,POWERAPPS_O365_P3,TRUE,TRUE,,,,,,
User,Success,Premium Encryption in Office 365,617b097b-4b93-4ede-83de-5f075bb5fb2f,PREMIUM_ENCRYPTION,FALSE,TRUE,,,,,,
User,Success,Project for Office (Plan E5),b21a6b06-1988-436e-a07b-51ec6d9f52ad,PROJECT_O365_P3,TRUE,TRUE,,,,,,
User,Success,Microsoft Planner,b737dad2-2f6c-4c65-90e3-ca563267e8b9,PROJECTWORKMANAGEMENT,TRUE,TRUE,,,,,,
User,Success,Microsoft Records Management,65cc641f-cccd-4643-97e0-a17e3045e541,RECORDS_MANAGEMENT,FALSE,TRUE,,,,,,
User,Success,Azure Rights Management,bea4c11e-220a-4e6d-8eb8-8ea15d019f90,RMS_S_ENTERPRISE,TRUE,TRUE,,,,,,
User,Success,Azure Information Protection Premium P1,6c57d4b6-3b23-47a5-9bc9-69f17b4947b3,RMS_S_PREMIUM,TRUE,TRUE,,,,,,
User,Success,Azure Information Protection Premium P2,5689bec4-755d-4753-8b61-40975025187c,RMS_S_PREMIUM2,TRUE,TRUE,,,,,,
User,Success,Office 365 SafeDocs,bf6f5520-59e3-4f82-974b-7dbbc4fd27c7,SAFEDOCS,FALSE,TRUE,,,,,,
User,Success,School Data Sync (Plan 2),500b6a2a-7a50-4f40-b5f9-160e5b8c2f48,SCHOOL_DATA_SYNC_P2,FALSE,TRUE,,,,,,
User,Success,SharePoint Plan 2 for EDU,63038b2c-28d0-45f6-bc36-33062963b498,SHAREPOINTENTERPRISE_EDU,TRUE,TRUE,,,,,,
User,Success,Office for the web (Education),e03c7e47-402c-463c-ab25-949079bedb21,SHAREPOINTWAC_EDU,TRUE,TRUE,,,,,,
User,Success,Microsoft Stream for O365 E3 SKU / Microsoft Stream for O365 E5 SKU,6c6042f5-6f01-4d67-b8c1-eb99d36eed3e,STREAM_O365_E5,TRUE,TRUE,,,,,,
User,Success,Sway,a23b959c-7ce8-4e57-9140-b90eb88a9e97,SWAY,TRUE,TRUE,,,,,,
User,Success,Microsoft Teams,57ff2da0-773e-42df-b2af-ffb7a2317929,TEAMS1,TRUE,TRUE,,,,,,
User,Success,Microsoft Defender for Office 365 (Plan 2),8e0c0a52-6a6c-4d40-8370-dd62790dcd70,THREAT_INTELLIGENCE,FALSE,TRUE,,,,,,
User,Success,Universal Print,795f6fe0-cc4d-4773-b050-5dde4dc704c9,UNIVERSAL_PRINT_01,FALSE,TRUE,,,,,,
User,Success,Windows 10 Enterprise,e7c91390-7625-45be-94e0-e16907e03118,Virtualization Rights for Windows 10 (E3/E5+VDA),TRUE,TRUE,,,,,,
User,Success,Viva Learning Seeded,b76fb638-6ba6-402a-b9f9-83d28acb3d86,VIVA_LEARNING_SEEDED,TRUE,TRUE,,,,,,
User,Success,Whiteboard (Plan 3),4a51bca5-1eff-43f5-878c-177680f191af,WHITEBOARD_PLAN3,TRUE,TRUE,,,,,,
User,Success,Microsoft Defender For Endpoint,871d91ec-ec1a-452b-a83f-bd76c7d770ef,WINDEFATP,FALSE,TRUE,,,,,,
User,Success,Windows Update for Business Deployment Service,7bf960f6-2cd9-443a-8046-5dbff9558365,WINDOWSUPDATEFORBUSINESS_DEPLOYMENTSERVICE,FALSE,TRUE,,,,,,
User,Success,Yammer for Academic,2078e8df-cff6-4290-98cb-5408261a760a,YAMMER_EDU,FALSE,TRUE,,,,,,
